2025-01-14 10:42:40,567 - INFO - Starting asteroids!
Screen width: 1920
Screen height: 1080
2025-01-14 10:42:42,523 - DEBUG - Total Time: 0.0165s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0000s
2025-01-14 10:42:42,540 - DEBUG - Total Time: 0.0160s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0010s
2025-01-14 10:42:42,557 - DEBUG - Total Time: 0.0170s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0020s
2025-01-14 10:42:42,574 - DEBUG - Total Time: 0.0166s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0030s
2025-01-14 10:42:42,590 - DEBUG - Total Time: 0.0159s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0025s
2025-01-14 10:42:42,604 - DEBUG - Total Time: 0.0145s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0010s
2025-01-14 10:42:42,622 - DEBUG - Total Time: 0.0181s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0030s
2025-01-14 10:42:42,638 - DEBUG - Total Time: 0.0155s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0030s
2025-01-14 10:42:42,653 - DEBUG - Total Time: 0.0152s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0010s
2025-01-14 10:42:42,670 - DEBUG - Total Time: 0.0157s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0010s
2025-01-14 10:42:42,687 - DEBUG - Total Time: 0.0173s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0010s
2025-01-14 10:42:42,703 - DEBUG - Asteroid spawned at (1980.0,627.2509781546714) with radius 60
2025-01-14 10:42:42,705 - DEBUG - Total Time: 0.0180s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0020s
2025-01-14 10:42:42,722 - DEBUG - Total Time: 0.0168s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0020s
2025-01-14 10:42:42,740 - DEBUG - Total Time: 0.0181s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0025s
2025-01-14 10:42:42,756 - DEBUG - Total Time: 0.0162s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0020s
2025-01-14 10:42:42,771 - DEBUG - Total Time: 0.0146s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0000s
2025-01-14 10:42:42,787 - DEBUG - Total Time: 0.0151s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0010s
2025-01-14 10:42:42,805 - DEBUG - Total Time: 0.0177s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0020s
2025-01-14 10:42:42,821 - DEBUG - Total Time: 0.0160s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0010s
2025-01-14 10:42:42,839 - DEBUG - Total Time: 0.0181s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0020s
2025-01-14 10:42:42,856 - DEBUG - Total Time: 0.0167s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0020s
2025-01-14 10:42:42,873 - DEBUG - Total Time: 0.0168s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0020s
2025-01-14 10:42:42,889 - DEBUG - Total Time: 0.0159s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0015s
2025-01-14 10:42:42,905 - DEBUG - Total Time: 0.0161s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0010s
2025-01-14 10:42:42,923 - DEBUG - Total Time: 0.0170s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0020s
2025-01-14 10:42:42,937 - DEBUG - Total Time: 0.0145s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0000s
2025-01-14 10:42:42,955 - DEBUG - Total Time: 0.0167s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0020s
2025-01-14 10:42:42,971 - DEBUG - Total Time: 0.0151s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0015s
2025-01-14 10:42:42,986 - DEBUG - Total Time: 0.0155s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0000s
2025-01-14 10:42:43,003 - DEBUG - Total Time: 0.0173s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0010s
2025-01-14 10:42:43,019 - DEBUG - Total Time: 0.0153s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0010s
2025-01-14 10:42:43,035 - DEBUG - Total Time: 0.0161s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0010s
2025-01-14 10:42:43,051 - DEBUG - Total Time: 0.0161s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0010s
2025-01-14 10:42:43,067 - DEBUG - Total Time: 0.0165s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0010s
2025-01-14 10:42:43,084 - DEBUG - Total Time: 0.0166s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0020s
2025-01-14 10:42:43,100 - DEBUG - Total Time: 0.0163s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0012s
2025-01-14 10:42:43,116 - DEBUG - Total Time: 0.0155s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0010s
2025-01-14 10:42:43,133 - DEBUG - Total Time: 0.0174s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0020s
2025-01-14 10:42:43,149 - DEBUG - Total Time: 0.0160s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0015s
2025-01-14 10:42:43,166 - DEBUG - Total Time: 0.0165s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0010s
2025-01-14 10:42:43,181 - DEBUG - Total Time: 0.0152s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0000s
2025-01-14 10:42:43,199 - DEBUG - Total Time: 0.0183s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0015s
2025-01-14 10:42:43,215 - DEBUG - Total Time: 0.0160s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0010s
2025-01-14 10:42:43,233 - DEBUG - Total Time: 0.0176s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0020s
2025-01-14 10:42:43,250 - DEBUG - Total Time: 0.0175s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0022s
2025-01-14 10:42:43,266 - DEBUG - Total Time: 0.0154s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0020s
2025-01-14 10:42:43,282 - DEBUG - Total Time: 0.0160s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0010s
2025-01-14 10:42:43,299 - DEBUG - Total Time: 0.0176s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0015s
2025-01-14 10:42:43,315 - DEBUG - Total Time: 0.0158s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0010s
2025-01-14 10:42:43,331 - DEBUG - Total Time: 0.0162s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0010s
2025-01-14 10:42:43,348 - DEBUG - Total Time: 0.0165s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0010s
2025-01-14 10:42:43,364 - DEBUG - Total Time: 0.0166s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0010s
2025-01-14 10:42:43,379 - DEBUG - Total Time: 0.0146s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0000s
2025-01-14 10:42:43,396 - DEBUG - Total Time: 0.0173s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0010s
2025-01-14 10:42:43,413 - DEBUG - Total Time: 0.0169s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0010s
2025-01-14 10:42:43,429 - DEBUG - Total Time: 0.0156s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0000s
2025-01-14 10:42:43,446 - DEBUG - Total Time: 0.0175s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0010s
2025-01-14 10:42:43,463 - DEBUG - Total Time: 0.0171s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0020s
2025-01-14 10:42:43,480 - DEBUG - Total Time: 0.0166s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0025s
2025-01-14 10:42:43,496 - DEBUG - Total Time: 0.0161s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0020s
2025-01-14 10:42:43,513 - DEBUG - Total Time: 0.0166s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0020s
2025-01-14 10:42:43,528 - DEBUG - Total Time: 0.0155s, Update: 0.0000s, Collision: 0.0000s, Render: 0.0010s
